id,Captions,URL,Class
422,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file3__IMG6333.JPG,"['stupa, tope']"
423,a view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file4__IMG6334.JPG,['palace']
424,a large building with a clock tower on top .,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file5__IMG6335.JPG,"['bell cote, bell cot']"
425,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89623_submitter_file6__ScreenshotWikimapia.png,"['oscilloscope, scope, cathode-ray oscilloscope, CRO']"
426,a view of a plane flying through the sky .,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file1__20180116143457.jpg,['wing']
427,a kite flying high in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file2__20180116143503.jpg,['balloon']
428,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file3__20180116143507.jpg,['geyser']
429,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89611_submitter_file4__20180116143503.jpg,['wing']
430,a couple of animals that are in the grass .,http://www.mufoncms.com/files_jeud8334j/89585_submitter_file1__137133481081462861924367889353549n.jpg,"['megalith, megalithic structure']"
431,a blue and white kite flying in a blue sky .,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file1__IMG2729.JPG,['knot']
432,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file2__IMG2722.JPG,"['warplane, military plane']"
433,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file3__IMG2723.JPG,"['warplane, military plane']"
434,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file4__IMG2724.JPG,"['flagpole, flagstaff']"
435,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file5__IMG2725.JPG,"['flagpole, flagstaff']"
436,a blue and white plane flying in the sky,http://www.mufoncms.com/files_jeud8334j/89571_submitter_file6__IMG2726.JPG,['kite']
437,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89559_submitter_file1__Photo22122017.jpg,"['flagpole, flagstaff']"
438,a man flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file1__IMG20180112210716090.jpg,"['motor scooter, scooter']"
439,a white dog holding a yellow frisbee in its mouth .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file2__20180112211253.jpg,"['nematode, nematode worm, roundworm']"
440,a person on a snowboard in the snow .,http://www.mufoncms.com/files_jeud8334j/89540_submitter_file3__20180112211412.jpg,"['puck, hockey puck']"
441,a person riding a skate board on a rail,http://www.mufoncms.com/files_jeud8334j/89522_submitter_file1__IMG0247.JPG,['alp']
442,a person riding a skate board on a rail,http://www.mufoncms.com/files_jeud8334j/89522_submitter_file2__IMG0248.JPG,['alp']
443,a view of a road from the side of the road .,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file1__IMG58486alamohiko.jpg,"['Arabian camel, dromedary, Camelus dromedarius']"
444,a car driving down a road next to a mountain .,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file2__IMG5803.jpg,"['seashore, coast, seacoast, sea-coast']"
445,a train on a track near a body of water,http://www.mufoncms.com/files_jeud8334j/89517_submitter_file4__IMG5828.jpg,"['harvester, reaper']"
446,an airplane flying over a city in the evening .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file1__FBIMG1515644000587.jpg,['crane']
447,a red stop sign sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file2__FBIMG1515644040145.jpg,"['flagpole, flagstaff']"
448,a white toilet sitting next to a white wall .,http://www.mufoncms.com/files_jeud8334j/89515_submitter_file3__FBIMG1515644050005.jpg,"[""loupe, jeweler's loupe""]"
449,a plane is flying over a snowy mountain .,http://www.mufoncms.com/files_jeud8334j/89503_submitter_file1__20171218142534.jpg,['suspension bridge']
450,a blue and white kite flying in a blue sky .,http://www.mufoncms.com/files_jeud8334j/89503_submitter_file2__20171219091159.png,['bubble']
451,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file1__20180110080036.jpg,"['traffic light, traffic signal, stoplight']"
452,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file2__20180110080045.jpg,"['garbage truck, dustcart']"
453,a fire hydrant in front of a building .,http://www.mufoncms.com/files_jeud8334j/89495_submitter_file3__20180110080046.jpg,"['traffic light, traffic signal, stoplight']"
454,a flock of birds flying over a traffic light .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file1__IMG2413.JPG,['bubble']
455,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file2__IMG2424.JPG,['missile']
456,a view of a city street from a plane .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file3__IMG2429.JPG,"['spotlight, spot']"
457,an airplane flying through the sky over a forest .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file4__IMG2436.JPG,['jellyfish']
458,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file5__IMG2439.JPG,['jellyfish']
459,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file6__IMG2425.JPG,['volcano']
460,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/89465_submitter_file7__IMG2426.JPG,['volcano']
461,a view of a window from a plane .,http://www.mufoncms.com/files_jeud8334j/89445_submitter_file1__DenverObjectView1OriginalSize.jpg,['sliding door']
462,a view of a city from the outside of a window .,http://www.mufoncms.com/files_jeud8334j/89445_submitter_file2__DenverObjectView2OriginalSize.jpg,"['patio, terrace']"
463,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89442_submitter_file1__CIGARDAYNIGHT.jpg,['balloon']
464,a black and white photo of a white and blue sign .,http://www.mufoncms.com/files_jeud8334j/89411_submitter_file2__UFODrawingShapeandColor.PNG,['envelope']
465,a large jetliner sitting on top of an airport tarmac .,http://www.mufoncms.com/files_jeud8334j/89389_submitter_file1__IMG1002.JPG,['airliner']
466,a view of a city skyline from the airport .,http://www.mufoncms.com/files_jeud8334j/89382_submitter_file1__IMG0442.JPG,['obelisk']
467,a group of people standing on top of a runway .,http://www.mufoncms.com/files_jeud8334j/89382_submitter_file3__IMG4573.JPG,"['projectile, missile']"
468,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/89377_submitter_file1__Sat06January2018111213AM.JPG,['barn']
469,a train traveling through a lush green countryside .,http://www.mufoncms.com/files_jeud8334j/89377_submitter_file2__Sat06January2018111029AM.JPG,['monastery']
470,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file1__IMG20161010184627.jpg,['wing']
471,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file2__IMG20161010184635.jpg,"['airship, dirigible']"
472,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file3__IMG20161010184642.jpg,['wing']
473,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/89368_submitter_file4__IMG20161010184645.jpg,"['airship, dirigible']"
474,a black and white photo of a black bear .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file1__IMG3624.JPG,"['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']"
475,a black and white photo of a man flying a kite .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file2__IMG3060.PNG,"['nematode, nematode worm, roundworm']"
476,a group of people riding on a cross walk .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file3__IMG2905.JPG,"['nematode, nematode worm, roundworm']"
477,a close up of a black and white keyboard,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file4__IMG2950.JPG,"['computer keyboard, keypad']"
478,a large body of water with a boat in it .,http://www.mufoncms.com/files_jeud8334j/89367_submitter_file5__IMG2811.JPG,"['nematode, nematode worm, roundworm']"
479,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file3__6D9F1CFB97A5437E845E57D634CBE461.png,['stage']
480,a close up of a person holding a bird,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file4__C4843B2D302944EE88CD35035AC08277.png,"['water ouzel, dipper']"
481,a large building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89317_submitter_file5__43F7F6F0EB984C6EB40F18ED20E1EBF8.png,['stage']
482,a train traveling through a lush green countryside .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file1__IMG0087.JPG,['rapeseed']
483,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file2__IMG0086.JPG,"['mountain bike, all-terrain bike, off-roader']"
484,a train traveling through a rural country side .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file3__IMG0059.JPG,['rapeseed']
485,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file4__IMG1046.JPG,['bubble']
486,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file5__IMG1049.JPG,"['hook, claw']"
487,a street sign on a pole on a city street,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file6__IMG1051.JPG,['pole']
488,a person is flying a kite in a field,http://www.mufoncms.com/files_jeud8334j/89309_submitter_file7__IMG1028.JPG,['pole']
489,a bird flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89305_submitter_file1__IMG0950.JPG,"['nematode, nematode worm, roundworm']"
490,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89305_submitter_file2__IMG0951.JPG,"['great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias']"
491,a plane is flying in the sky with clouds in the background .,http://www.mufoncms.com/files_jeud8334j/89305_submitter_file3__IMG0953.JPG,"['parachute, chute']"
492,a black and white photo of a pair of scissors .,http://www.mufoncms.com/files_jeud8334j/89305_submitter_file4__bijnabotsing2.jpg,['bubble']
493,a black and white photo of a clock tower .,http://www.mufoncms.com/files_jeud8334j/89298_submitter_file2__IMG7045.JPG,['abacus']
494,a person is using a laptop on a bed .,http://www.mufoncms.com/files_jeud8334j/89298_submitter_file3__IMG7046.PNG,"['nematode, nematode worm, roundworm']"
495,a group of people standing on top of a snow covered slope .,http://www.mufoncms.com/files_jeud8334j/89298_submitter_file4__IMG7048.PNG,"['nematode, nematode worm, roundworm']"
496,a laptop computer sitting on top of a desk .,http://www.mufoncms.com/files_jeud8334j/89297_submitter_file1__3monthsago.jpg,"['screen, CRT screen']"
497,a blurry photo of a street light,http://www.mufoncms.com/files_jeud8334j/89297_submitter_file3__closeup.jpg,"['punching bag, punch bag, punching ball, punchball']"
498,a person on a skateboard doing a trick .,http://www.mufoncms.com/files_jeud8334j/89288_submitter_file1__Screenshot20180102201918.png,['volcano']
499,a large body of water with a bridge in the background,http://www.mufoncms.com/files_jeud8334j/89272_submitter_file1__GreenLightinSky.jpeg,"['breakwater, groin, groyne, mole, bulwark, seawall, jetty']"
500,a view of a city street with cars and motorcycles .,http://www.mufoncms.com/files_jeud8334j/89261_submitter_file1__20180101012757.jpg,['car mirror']
501,a red fire hydrant sitting in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/89261_submitter_file2__20180101012810.jpg,"['feather boa, boa']"
502,a person sitting on a bench in the dark .,http://www.mufoncms.com/files_jeud8334j/89257_submitter_file1__631.jpg,"['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']"
503,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/89218_submitter_file1__DSC0724cropped.JPG,"['parachute, chute']"
504,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/89210_submitter_file1__38E87E1C66354FF9B606A3D87D8287DF.jpeg,"['lakeside, lakeshore']"
505,a red fire hydrant sitting in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/89210_submitter_file2__CB859C7035E341E19233A0A64F56953E.jpeg,"['lakeside, lakeshore']"
506,a building with a clock tower on top of it .,http://www.mufoncms.com/files_jeud8334j/89210_submitter_file3__101C7EE48DD9415FAC982DEC051B60D8.jpeg,"['church, church building']"
507,a large clock tower towering over a city .,http://www.mufoncms.com/files_jeud8334j/89210_submitter_file4__031566BE5DAA4DF3AD142ADD0507BD8B.jpeg,"['beacon, lighthouse, beacon light, pharos']"
508,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89208_submitter_file1__IMG1149.JPG,['envelope']
509,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89206_submitter_file1__IMG1149.JPG,['envelope']
510,a white toilet sitting next to a window .,http://www.mufoncms.com/files_jeud8334j/89150_submitter_file2__1210171757d.jpg,['carton']
511,a large white clock tower towering over a city .,http://www.mufoncms.com/files_jeud8334j/89142_submitter_file1__3343B3B497B642F1868872CD2E7A0646.png,"['web site, website, internet site, site']"
512,a kite flying in the sky over a beach .,http://www.mufoncms.com/files_jeud8334j/89142_submitter_file2__129DFECE89114DDE813B6F8E89CDDF15.png,['space shuttle']
513,a kite flying in the sky over a beach .,http://www.mufoncms.com/files_jeud8334j/89142_submitter_file3__5554B638B0B943F494E701BDDB921F70.png,['space shuttle']
514,a bird flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/89139_submitter_file2__FBIMG1502050968167.jpg,"['airship, dirigible']"
515,a group of airplanes flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/89138_submitter_file1__20170210153531.jpg,['space shuttle']
516,a white toilet sitting next to a window .,http://www.mufoncms.com/files_jeud8334j/89138_submitter_file2__20161228154505.jpg,"['bobsled, bobsleigh, bob']"
517,a view of a building from the window .,http://www.mufoncms.com/files_jeud8334j/89138_submitter_file3__20161228154512.jpg,"['bobsled, bobsleigh, bob']"
518,a blue and white plane flying in the sky,http://www.mufoncms.com/files_jeud8334j/89127_submitter_file1__DSC1389.JPG,['jellyfish']
519,a blue and white plane flying in the sky,http://www.mufoncms.com/files_jeud8334j/89127_submitter_file2__DSC1421.JPG,['kite']
520,a red and white kite flying in the sky,http://www.mufoncms.com/files_jeud8334j/89127_submitter_file3__DSC1424.JPG,"['parachute, chute']"
521,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89127_submitter_file4__DSC1334.JPG,['balloon']
522,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/89127_submitter_file5__DSC1429.JPG,['kite']
523,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/89100_submitter_file1__1UFOgreenLights1.jpg,"['traffic light, traffic signal, stoplight']"
524,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/89100_submitter_file2__2UFOgreenLights2.jpg,"['traffic light, traffic signal, stoplight']"
525,a sign that reads `` <UNK> '' on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89096_submitter_file1__UFOCHancellorsville2ndphoto.jpg,"['brass, memorial tablet, plaque']"
526,a street sign on a pole on a city street,http://www.mufoncms.com/files_jeud8334j/89096_submitter_file2__UFOCHANCELLORSVILLElongshotphoto0001.jpg,['street sign']
527,a person riding a skate board in a skate park,http://www.mufoncms.com/files_jeud8334j/89073_submitter_file1__5F98B7D2F7A243C1AE5AA1251BECF837.jpeg,"['platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus']"
528,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/89073_submitter_file2__92B2134140984B629BC4C3655B7C6074.jpeg,"['nematode, nematode worm, roundworm']"
529,a couple of animals that are in the grass .,http://www.mufoncms.com/files_jeud8334j/89072_submitter_file1__201707231823201.jpg,['volcano']
530,a herd of sheep grazing on a lush green hillside .,http://www.mufoncms.com/files_jeud8334j/89072_submitter_file2__201707231823211.jpg,['volcano']
531,a view of a city skyline from a plane .,http://www.mufoncms.com/files_jeud8334j/89065_submitter_file1__IMG2211.JPG,"['parachute, chute']"
532,a red stop sign sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89062_submitter_file1__UFOSighting.jpg,['suspension bridge']
533,a red stop sign sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/89062_submitter_file2__UFOSighting.jpg,['suspension bridge']
534,a close up of a person holding a pair of scissors,http://www.mufoncms.com/files_jeud8334j/89051_submitter_file1__3.JPG,['velvet']
535,a close up of a clock on a building,http://www.mufoncms.com/files_jeud8334j/89051_submitter_file2__300dpi3.JPG,"[""plunger, plumber's helper""]"
536,a view of a building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/89046_submitter_file1__IMG2204.jpg,"['bell cote, bell cot']"
537,a plane flying over a large mountain range .,http://www.mufoncms.com/files_jeud8334j/89042_submitter_file1__DSC0159.JPG,['hay']
538,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/89024_submitter_file1__IMG14351513993110454.jpg,"['traffic light, traffic signal, stoplight']"
539,a car driving down a road next to a traffic light .,http://www.mufoncms.com/files_jeud8334j/89024_submitter_file2__20171222174018.jpg,['minivan']
540,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/89024_submitter_file3__20171222173748.jpg,"['airship, dirigible']"
541,a view of a street from a car window .,http://www.mufoncms.com/files_jeud8334j/88996_submitter_file1__20171206190941.jpg,['bubble']
542,a stop sign on the side of the road .,http://www.mufoncms.com/files_jeud8334j/88994_submitter_file1__IMAG1376Worm1.jpg,['geyser']
543,a man flying a kite in a park .,http://www.mufoncms.com/files_jeud8334j/88994_submitter_file2__IMAG13772.jpg,['soccer ball']
544,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/88994_submitter_file3__IMAG13773.jpg,['balloon']
545,a large jetliner flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/88994_submitter_file4__IMAG13774.jpg,['balloon']
546,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/88994_submitter_file5__IMAG13775.jpg,"['warplane, military plane']"
547,a black and white photo of a couple of birds .,http://www.mufoncms.com/files_jeud8334j/88970_submitter_file1__20171220200830.jpg,"['nematode, nematode worm, roundworm']"
548,a view of a plane flying over a city .,http://www.mufoncms.com/files_jeud8334j/88970_submitter_file2__20171220200959.jpg,"['flagpole, flagstaff']"
549,a black and white photo of a person holding a black umbrella,http://www.mufoncms.com/files_jeud8334j/88970_submitter_file3__Screenshot20171220031635.png,"['nematode, nematode worm, roundworm']"
550,a group of people standing in front of a traffic light .,http://www.mufoncms.com/files_jeud8334j/88970_submitter_file4__Screenshot20171220031602.png,"['nematode, nematode worm, roundworm']"
551,a black and white photo of a clock tower .,http://www.mufoncms.com/files_jeud8334j/88970_submitter_file5__20171220223407.jpg,"['nematode, nematode worm, roundworm']"
552,a view of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/88966_submitter_file1__20171220154701.jpg,['geyser']
553,a woman holding a pair of scissors in front of her face .,http://www.mufoncms.com/files_jeud8334j/88966_submitter_file2__Screenshot20171220181931.jpg,"['web site, website, internet site, site']"
554,a close up of a tooth brush in a glass,http://www.mufoncms.com/files_jeud8334j/88966_submitter_file3__SmartSelectImage20171220222548.png,['consomme']
555,a car driving down a road next to a traffic light .,http://www.mufoncms.com/files_jeud8334j/88951_submitter_file1__927D57DB203E4E15B5C5EECF694599C8.jpeg,['minivan']
556,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/88951_submitter_file2__FA1C9B6D92A64B0CB8E09E26C7E7990B.jpeg,"['hammerhead, hammerhead shark']"
557,a close up of a traffic light with a sky background,http://www.mufoncms.com/files_jeud8334j/88882_submitter_file1__20171017062830.jpg,"['spotlight, spot']"
558,a black and white photo of a white toilet,http://www.mufoncms.com/files_jeud8334j/88882_submitter_file2__ufo2InPixio.jpg,"['mouse, computer mouse']"
559,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/88876_submitter_file2__neighborsphoto.jpg,"['fire engine, fire truck']"
560,a view of a city street at night .,http://www.mufoncms.com/files_jeud8334j/88855_submitter_file1__2539573017351540298629106974195567840096816n.jpg,['fountain']
561,a person is holding a cell phone in their hand .,http://www.mufoncms.com/files_jeud8334j/88855_submitter_file2__2544313017351539898629147183977689157930188n.jpg,"['grand piano, grand']"
562,a view of a city skyline from an airplane .,http://www.mufoncms.com/files_jeud8334j/88855_submitter_file3__2535408917351539398629197253589745418289771n.jpg,"['traffic light, traffic signal, stoplight']"
563,a car driving down a street next to a traffic light .,http://www.mufoncms.com/files_jeud8334j/88855_submitter_file4__2550809017351538998629232786727605284802909n.jpg,"['traffic light, traffic signal, stoplight']"
564,a man is standing in front of a mirror,http://www.mufoncms.com/files_jeud8334j/88848_submitter_file2__IMG20171213002356ufo4Zoomx4.png,"['nematode, nematode worm, roundworm']"
565,a person holding a red and white umbrella .,http://www.mufoncms.com/files_jeud8334j/88848_submitter_file4__IMG20171213021735ufo10Zoom.png,"['nematode, nematode worm, roundworm']"
566,a black and white photo of a person holding an umbrella .,http://www.mufoncms.com/files_jeud8334j/88848_submitter_file5__IMG20171213001541ufo1.png,"['nematode, nematode worm, roundworm']"
567,a night view of a street with a clock tower .,http://www.mufoncms.com/files_jeud8334j/88832_submitter_file1__20171216202119.jpeg,"['nematode, nematode worm, roundworm']"
568,a view of a mountain range from a plane .,http://www.mufoncms.com/files_jeud8334j/88816_submitter_file1__A12D1C25482D4E2BB9B6FB46B4B25A87.jpeg,['volcano']
569,a view of a mountain range from below .,http://www.mufoncms.com/files_jeud8334j/88816_submitter_file2__C62F5A4FF5D6491681211B869A5BC3C5.jpeg,"['cliff, drop, drop-off']"
570,a truck parked on the side of a road .,http://www.mufoncms.com/files_jeud8334j/88810_submitter_file1__1002139.JPG,"['mobile home, manufactured home']"
571,a truck parked on the side of a road .,http://www.mufoncms.com/files_jeud8334j/88810_submitter_file2__1002140.JPG,"['mobile home, manufactured home']"
572,a stop sign on a road near a body of water,http://www.mufoncms.com/files_jeud8334j/88810_submitter_file3__1002153.JPG,['car mirror']
573,a person flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/88800_submitter_file1__FBIMG1513390167001.jpg,"['beacon, lighthouse, beacon light, pharos']"
574,a person flying a kite on a beach .,http://www.mufoncms.com/files_jeud8334j/88780_submitter_file2__25400942101549570054969651551453402o.jpg,"['sandbar, sand bar']"
575,a plane flying over a large body of water .,http://www.mufoncms.com/files_jeud8334j/88780_submitter_file3__2543423210154957005481965174773412o.jpg,"['drilling platform, offshore rig']"
576,a group of people standing around a christmas tree .,http://www.mufoncms.com/files_jeud8334j/88731_submitter_file1__lights.jpg,"['nematode, nematode worm, roundworm']"
577,a bunch of birds that are in the snow .,http://www.mufoncms.com/files_jeud8334j/88710_submitter_file1__Mazaredo1.PNG,"['breastplate, aegis, egis']"
578,a group of people standing in front of a large building .,http://www.mufoncms.com/files_jeud8334j/88710_submitter_file2__Mazaredo2.PNG,"['nematode, nematode worm, roundworm']"
579,a pair of skis laying on top of a snow covered ground .,http://www.mufoncms.com/files_jeud8334j/88710_submitter_file3__Mazaredo3.PNG,['volcano']
580,a black and white photo of a car and a truck,http://www.mufoncms.com/files_jeud8334j/88710_submitter_file4__Mazaredo4.png,"['jeep, landrover']"
581,a person on a skateboard on a street .,http://www.mufoncms.com/files_jeud8334j/88699_submitter_file1__DSC1027.JPG,"['church, church building']"
582,a person on a snowboard in the snow .,http://www.mufoncms.com/files_jeud8334j/88699_submitter_file2__DSC1028.JPG,"['beacon, lighthouse, beacon light, pharos']"
583,a person flying a kite on a cloudy day .,http://www.mufoncms.com/files_jeud8334j/88699_submitter_file3__DSC1029.JPG,"['church, church building']"
584,a plane flying in the sky over a building .,http://www.mufoncms.com/files_jeud8334j/88689_submitter_file1__20170609200141.jpg,['missile']
585,a street sign on a pole on a street .,http://www.mufoncms.com/files_jeud8334j/88689_submitter_file2__20170609200117.jpg,['pole']
586,a train traveling down tracks next to a lush green field .,http://www.mufoncms.com/files_jeud8334j/88689_submitter_file3__20170609200132.jpg,['freight car']
587,a plane is flying in the sky over trees .,http://www.mufoncms.com/files_jeud8334j/88682_submitter_file3__20171210115333.jpg,['fireboat']
588,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/88682_submitter_file4__Screenshot20171210122813.png,"['parachute, chute']"
589,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/88682_submitter_file5__Screenshot20171210143111.png,"['parachute, chute']"
590,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/88668_submitter_file1__ufogroup.jpg,"['parachute, chute']"
591,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/88668_submitter_file2__ufospread.jpg,"['parachute, chute']"
592,a couple of planes flying over a bridge .,http://www.mufoncms.com/files_jeud8334j/88660_submitter_file1__IMG9639.jpg,['suspension bridge']
593,a plane flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/88624_submitter_file1__IMG8851.jpg,['hay']
594,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/88624_submitter_file2__IMG8852.jpg,['hay']
595,a herd of cattle grazing on a lush green field .,http://www.mufoncms.com/files_jeud8334j/88624_submitter_file3__IMG8853.jpg,['rapeseed']
596,a city street at night with traffic lights .,http://www.mufoncms.com/files_jeud8334j/88620_submitter_file1__017.JPG,"['limousine, limo']"
597,a red fire hydrant in front of a house .,http://www.mufoncms.com/files_jeud8334j/88620_submitter_file2__016.JPG,"['mobile home, manufactured home']"
598,a city street at night with traffic lights .,http://www.mufoncms.com/files_jeud8334j/88620_submitter_file3__0172.JPG,"['limousine, limo']"
599,a stop sign on the side of the road .,http://www.mufoncms.com/files_jeud8334j/88607_submitter_file1__Screenshot20171208090806.jpg,"['web site, website, internet site, site']"
600,a person riding a bike down a road .,http://www.mufoncms.com/files_jeud8334j/88607_submitter_file2__Screenshot20171208090921.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
601,a stop sign on the side of the road .,http://www.mufoncms.com/files_jeud8334j/88607_submitter_file3__Screenshot20171208091038.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
602,a person riding a motorcycle down a street .,http://www.mufoncms.com/files_jeud8334j/88607_submitter_file4__Screenshot20171208091120.jpg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']"
603,a black and white photo of a pair of scissors .,http://www.mufoncms.com/files_jeud8334j/88607_submitter_file5__20171208091221.jpg,['envelope']
604,a kite flying in the sky over a field .,http://www.mufoncms.com/files_jeud8334j/88603_submitter_file1__Screenshot20171207204109.jpg,['bubble']
605,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/88603_submitter_file2__Screenshot20171207204213.jpg,['bubble']
606,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/88603_submitter_file3__Screenshot20171207204302.jpg,['bubble']
607,a group of planes flying in the sky .,http://www.mufoncms.com/files_jeud8334j/88603_submitter_file4__Screenshot20171207204325.jpg,['analog clock']
608,a flock of birds flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/88603_submitter_file5__Screenshot20171207204553.jpg,"['parachute, chute']"
609,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/88597_submitter_file1__IMG20171207073915.jpg,['torch']
610,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/88597_submitter_file2__IMG20171207073910.jpg,['torch']
611,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/88597_submitter_file3__IMG20171207073643.jpg,['pole']
612,a red fire hydrant sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/88597_submitter_file4__IMG20171207073634.jpg,['sliding door']
